model_name,firmware_version,source_url,download_link
AP7650 ,V1.60,https://www.tp-link.com//us/support/download/ap7650/,https://static.tp-link.com/upload/firmware/2024/202401/20240111/AP7650_v1_1.1.7_20231208.zip
,https://www.tp-link.com//us/support/download/tl-pb10400/,V3,TL-PB10400 
,https://www.tp-link.com//us/support/download/tl-pb15600/,TL-PB15600 
https://static.tp-link.com/upload/firmware/2024/202404/20240408/Archer BE900(US)_V2_240227.zip,Archer BE900 ,V2.6,https://www.tp-link.com//us/support/download/archer-be900/
,4G05v1.0 Firmware  V04.05.01.02,https://www.tendacn.com/download/detail-4933.html
,https://www.tendacn.com/download/detail-4933.html,https://down.tendacn.com/uploadfile/4G05/4G05v1.0 Firmware V04.05.01.02.zip,4G05v1.0 Firmware  V04.05.01.02
,4G05v1.0 Firmware  V04.05.01.02,https://down.tendacn.com/uploadfile/4G05/4G05v1.0 Firmware V04.05.01.02.zip,https://www.tendacn.com/download/detail-4933.html
https://www.tp-link.com//us/support/download/ap9650/,,https://static.tp-link.com/upload/firmware/2023/202311/20231129/AP9650(US)_V1_1.0.8 Build 20231010.zip,AP9650 ,V1.60
AP9650 ,V1.60,https://static.tp-link.com/upload/firmware/2023/202311/20231129/AP9650(US)_V1_1.0.8 Build 20231010.zip,,,https://www.tp-link.com//us/support/download/ap9650/
model_name,firmware_version,download_link,version_xpath,absolute_download_link,source_url
AP9650 ,V1.60,https://static.tp-link.com/upload/firmware/2023/202311/20231129/AP9650(US)_V1_1.0.8 Build 20231010.zip,,,https://www.tp-link.com//us/support/download/ap9650/
AP9650 ,V1.60,https://static.tp-link.com/upload/firmware/2023/202311/20231129/AP9650(US)_V1_1.0.8 Build 20231010.zip,,,https://www.tp-link.com//us/support/download/ap9650/
model_name,firmware_version,download_link,version_xpath,absolute_download_link,source_url
AP9650 ,V1.60,https://static.tp-link.com/upload/firmware/2023/202311/20231129/AP9650(US)_V1_1.0.8 Build 20231010.zip,,,https://www.tp-link.com//us/support/download/ap9650/
model_name,firmware_version,download_link,version_xpath,absolute_download_link,source_url
AP9650 ,V1.60,https://static.tp-link.com/upload/firmware/2023/202311/20231129/AP9650(US)_V1_1.0.8 Build 20231010.zip,,,https://www.tp-link.com//us/support/download/ap9650/
model_name,firmware_version,download_link,version_xpath,absolute_download_link,source_url
AP9650 ,V1.60,https://static.tp-link.com/upload/firmware/2023/202311/20231129/AP9650(US)_V1_1.0.8 Build 20231010.zip,,,https://www.tp-link.com//us/support/download/ap9650/
model_name,firmware_version,download_link,version_xpath,absolute_download_link,source_url
AP9650 ,V1.60,https://static.tp-link.com/upload/firmware/2023/202311/20231129/AP9650(US)_V1_1.0.8 Build 20231010.zip,,,https://www.tp-link.com//us/support/download/ap9650/
model_name,firmware_version,download_link,version_xpath,absolute_download_link,source_url
AP9650 ,V1.60,https://static.tp-link.com/upload/firmware/2023/202311/20231129/AP9650(US)_V1_1.0.8 Build 20231010.zip,,,https://www.tp-link.com//us/support/download/ap9650/
model_name,firmware_version,download_link,version_xpath,absolute_download_link,source_url
AP7650 ,V1.60,https://static.tp-link.com/upload/firmware/2024/202401/20240111/AP7650_v1_1.1.7_20231208.zip,,,https://www.tp-link.com//us/support/download/ap7650/
TC7650 ,V1.60,,,,https://www.tp-link.com//us/support/download/tc7650/
model_name,firmware_version,download_link,version_xpath,absolute_download_link,source_url
AP7650 ,V1.60,https://static.tp-link.com/upload/firmware/2024/202401/20240111/AP7650_v1_1.1.7_20231208.zip,,,https://www.tp-link.com//us/support/download/ap7650/
TC7650 ,V1.60,,,,https://www.tp-link.com//us/support/download/tc7650/
model_name,firmware_version,download_link,version_xpath,absolute_download_link,source_url
AP7650 ,V1.60,https://static.tp-link.com/upload/firmware/2024/202401/20240111/AP7650_v1_1.1.7_20231208.zip,,,https://www.tp-link.com//us/support/download/ap7650/
TC7650 ,V1.60,,,,https://www.tp-link.com//us/support/download/tc7650/
model_name,firmware_version,download_link,version_xpath,absolute_download_link,source_url
TL-SF1005D ,V16,,,,https://www.tp-link.com//us/support/download/tl-sf1005d/
model_name,firmware_version,download_link,version_xpath,absolute_download_link,source_url
